Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
207,Oregon,31,18,13,0.581,8.64,6.9,9.0,9.0,11,3,5,6,2323,2269,,,0.377,0.411,0.573,49.5,63.7,,3.3,0.539,18.7,,0.273,False
208,Oregon State,28,12,16,0.429,1.49,4.6,6.0,12.0,11,6,1,10,2018,2071,,,0.331,0.273,0.502,49.0,54.8,,3.9,0.465,16.4,,0.23,False
209,Pacific,33,25,8,0.758,5.76,0.95,17.0,1.0,12,1,9,4,2272,2097,,,0.457,0.334,0.572,50.5,62.6,,5.5,0.528,19.2,,0.336,True
210,Penn State,28,9,19,0.321,-2.97,5.67,3.0,13.0,7,7,1,11,1632,1874,,,0.328,0.288,0.48,51.7,57.8,,4.4,0.447,20.7,,0.217,False
211,Pennsylvania,27,17,10,0.63,5.76,-2.09,10.0,4.0,7,6,10,4,1929,1717,,,0.349,0.402,0.56,51.4,64.6,,4.9,0.532,17.6,,0.24,False
212,Pepperdine,31,15,16,0.484,1.95,2.11,9.0,5.0,8,4,5,8,2446,2451,,,0.368,0.324,0.551,48.8,50.9,,4.3,0.515,14.9,,0.263,False
213,Pittsburgh,36,31,5,0.861,18.2,6.49,13.0,3.0,19,1,7,2,2446,2031,,,0.389,0.255,0.537,53.9,57.9,,8.5,0.51,16.7,,0.254,True
214,Portland,28,11,17,0.393,-0.96,2.83,5.0,9.0,6,6,5,10,1953,2059,,,0.35,0.335,0.53,44.5,59.3,,5.9,0.492,16.3,,0.252,False
215,Portland State,27,11,16,0.407,-5.24,-3.12,5.0,9.0,7,4,4,12,1810,1823,,,0.429,0.262,0.525,54.0,49.4,,6.5,0.49,21.0,,0.284,False
216,Prairie View,27,7,20,0.259,-20.55,-9.55,7.0,11.0,4,6,3,12,1673,1970,,,0.453,0.223,0.468,49.1,46.1,,4.3,0.427,19.9,,0.283,False
217,Princeton,28,20,8,0.714,1.54,-3.31,13.0,1.0,10,2,10,3,1760,1591,,,0.344,0.379,0.573,52.4,59.3,,6.8,0.545,19.5,,0.245,True
218,Providence,29,20,9,0.69,14.87,8.21,11.0,5.0,11,4,8,3,2060,1867,,,0.347,0.395,0.555,50.5,63.5,,8.8,0.522,18.9,,0.25,True
219,Purdue,31,17,14,0.548,9.74,5.48,7.0,9.0,9,5,4,8,2012,1880,,,0.379,0.28,0.519,50.7,61.6,,9.2,0.473,17.6,,0.279,False
220,Purdue Fort Wayne,28,3,25,0.107,-10.6,0.98,,,3,7,0,16,1736,2028,67.2,92.2,0.334,0.335,0.502,50.3,57.1,8.1,8.3,0.473,20.1,31.4,0.218,False
221,Quinnipiac,29,9,20,0.31,-12.7,-7.4,5.0,13.0,7,6,2,11,2119,2214,,,0.3,0.351,0.521,48.8,62.2,,3.2,0.49,17.2,,0.211,False
222,Radford,28,12,16,0.429,-11.05,-7.78,7.0,9.0,9,5,3,11,1911,1951,,,0.382,0.317,0.502,47.7,46.9,,5.4,0.475,16.9,,0.235,False
223,Rhode Island,34,20,14,0.588,7.19,2.8,7.0,9.0,11,6,6,7,2342,2203,,,0.347,0.259,0.501,55.1,50.2,,5.6,0.467,17.2,,0.235,False
