rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
31,Kentucky,SEC,21-13,119.85074931789606,41,99.87870637477396,31,0.8905472335908131,31,21.486031137033752,13.51396886296625,10.0,8.0,10-8,0.7365194500621175,0.5239240943256923,0.868300132949058,0.7410725303859126,0.5239240943256923,0.868300132949058,0.5892178433516516,0.7284834602456667,118.04251944523376,104.08831879827328,118.24078956466913,104.0757923780809,121.09280104517782,101.42837179774483,119.36778076720182,100.98431632683199,0.8725067712646886,20.0,0.042840605159647716,1414.0,1404.0,1245.875,1.13494531955453,1.1269188321460821,0.0,0.5555555555555556,3.2539495891776165,30,80,68.30610087899888
32,Cincinnati,B12,18-15,112.23024159528345,113,93.59958206511865,8,0.8896877493007259,32,18.0,15.0,9.0,9.0,9-9,0.6814642581993463,0.4611621721695177,0.8357918809816416,0.6814642581993463,0.4611621721695177,0.8357918809816416,0.6725077299425161,0.8298678728347324,114.3416781661549,103.8307183222143,114.3416781661549,103.8307183222143,117.72826402994889,94.64837685304853,114.31155081320946,97.63303506396834,0.8598066134454942,14.0,-0.11047001652344168,1290.0,1247.0,1196.0374999999997,1.07856149995297,1.0426094499545377,0.0,0.5,-2.044398706944535,70,358,67.63458230255559
33,BYU,B12,23-11,124.67027656617684,16,104.22474782209957,89,0.8869454360316745,33,23.56539146516585,11.434608534834151,9.0,9.0,9-9,0.7484795552440546,0.6045514503932494,0.8414867606294272,0.7516019640769247,0.6045514503932494,0.8414867606294272,0.6167617232285985,0.7401062248472191,115.89569184942995,101.94336349656763,116.10464706733563,102.0417436088368,124.98676688471772,107.67067976204731,125.65742632870368,102.91223457785134,0.9085745094223651,16.0,0.08269923278723668,1478.0,1483.0,1277.6499999999999,1.1568113333072438,1.160724768128987,0.0,0.5,4.492196682078393,22,21,69.76244746127469
34,Indiana,B10,18-14,121.84100417446189,31,101.95194062523873,55,0.8858947933014281,34,18.0,14.0,9.0,11.0,9-11,0.702181888224122,0.4407597666176697,0.8414741609715121,0.702181888224122,0.4407597666176697,0.8414741609715121,0.6411675304929976,0.8367772416254453,116.21635748600642,104.074412574772,116.21635748600642,104.074412574772,124.12764641800113,103.96419563497871,116.9520198413283,104.41137700069153,0.786572696266507,14.0,-0.05606114898371084,1516.0,1521.0,1318.2124999999999,1.1500421972936838,1.1538352124562619,0.0,0.45,-0.42978624768897916,53,312,66.18531224736176
35,Miami FL,ACC,25-8,121.020429388006,34,101.36245113158589,44,0.8847754945442394,35,25.570839721826744,8.429160278173256,13.0,5.0,13-5,0.6396456091032365,0.4104984782794811,0.771806702512151,0.6459016977486168,0.4104984782794811,0.771806702512151,0.7040209788052006,0.8333578081443374,113.18217268654621,105.74897543485505,113.37986451651452,105.66663923608385,121.59339037142634,102.11480146246151,120.47731874616565,100.76903392184225,0.8863763177475722,11.0,0.0744353656386092,1401.0,1312.0,1214.9125,1.1531694669369195,1.0799131624705485,0.0,0.7222222222222222,3.7912749113176423,28,30,67.91664494432756
36,Villanova,BE,24-8,119.50154200432138,45,100.4509116441485,38,0.8804913389364744,36,24.458072354475064,8.541927645524936,15.0,5.0,15-5,0.7068732303206855,0.5672130606803003,0.7812044084501597,0.7126370817591985,0.5672130606803003,0.7812044084501597,0.6927007386790002,0.7671840388165161,114.67172715903773,103.99191838238251,114.92625750269215,103.93005077490827,119.72633766674979,99.60081568260932,111.48641897114501,97.46592578123405,0.8242772310338962,8.0,0.08385099410201569,1525.0,1440.0,1360.9,1.1205819678154163,1.058123300756852,0.0,0.75,3.889662593122051,27,20,64.93302790520046
37,Georgia,SEC,22-10,124.36985913459117,18,104.7102264834821,92,0.8785452179151635,37,22.54876620278198,10.451233797218022,10.0,8.0,10-8,0.6707098018105718,0.40727932767821956,0.8543541691298618,0.6763268274712166,0.40727932767821956,0.8543541691298618,0.6733397049028859,0.856306977406184,115.22409823250813,105.66154818972096,115.34925492073683,105.55701707761932,126.72754213321701,106.70696353376508,126.32824627324187,101.71824473881074,0.9235639136695313,13.0,0.04693176953580347,1515.0,1521.0,1284.675,1.1792865899935783,1.1839570319341468,0.0,0.5555555555555556,2.564110383275214,33,74,72.01487536360162
38,Oklahoma,SEC,19-15,125.18884232826798,13,105.77074481370691,114,0.874167213284676,38,19.6873902839864,15.312609716013599,7.0,11.0,7-11,0.6988846321287625,0.44641863860640313,0.8594634564438421,0.700618747668648,0.44641863860640313,0.8594634564438421,0.6503474583985264,0.7934019467216028,115.62865412105418,105.36906441872084,115.6944194472972,105.40721780232415,124.41184100618128,105.64353913205338,129.19972322470738,106.92811231868124,0.8980580257462829,14.0,-0.04400547763618101,1429.0,1461.0,1235.0874999999999,1.1570030463428707,1.182912141852298,0.0,0.3888888888888889,-0.5217641594899936,54,284,66.1341427899308
39,N.C. State,ACC,20-14,123.02548683123358,26,104.02943975949682,87,0.8731112781427385,39,20.0,14.0,10.0,8.0,10-8,0.7233886173942565,0.5840041286903092,0.8069119459588383,0.7233886173942565,0.5840041286903092,0.8069119459588383,0.669851618628874,0.7837872118884749,115.72001634819219,104.23227926821579,115.72001634819219,104.23227926821579,123.38628829880514,104.4027782134839,121.11116786745636,104.01784205319713,0.8519129248920128,14.0,-0.034125468064039044,1442.0,1418.0,1253.9125,1.1500004984398833,1.1308604069263206,0.0,0.5555555555555556,0.28738119238842647,44,254,69.01914313440469
40,Texas A&M,SEC,21-11,119.83113815742198,42,101.38110031441857,45,0.872446356372064,40,21.398820124539878,11.601179875460124,11.0,7.0,11-7,0.6741148509980361,0.42270832205594466,0.8445722129133485,0.6813109274348071,0.42270832205594466,0.8445722129133485,0.6684104637101559,0.8602718577708617,116.01454909694355,106.47639547522954,116.11674356225672,106.20330598081038,121.29913382396305,99.91346588937259,119.16973112761565,100.00537148025411,0.8824912660634663,13.0,0.02488782478667162,1493.0,1460.0,1308.0375,1.1414045851131944,1.1161759506130369,0.0,0.6111111111111112,1.5577560492090536,41,111,71.008950371345
