Team,Conf,N_Players,AvgORtg,AvgUsage,AvgEFG
Western Kentucky,CUSA,15,107.52633053221287,19.66540616246498,47.10820328131253
Western Michigan,MAC,14,106.84900039984008,19.53064774090364,49.661775289884055
Wichita St.,Amer,12,110.75946432140717,19.719188486907854,49.20383769738158
William & Mary,CAA,13,111.29221844368872,19.704760952190437,54.75361072214442
Winthrop,BSth,14,110.74578168732505,19.621111555377848,48.73204718112754
Wisconsin,B10,14,117.99704059188161,19.725854829034198,54.49440111977604
Wofford,SC,14,113.90383999999997,19.690179999999998,52.370360000000005
Wright St.,Horz,12,115.4863,19.71652,54.92134000000001
Wyoming,MWC,14,112.90794476686011,19.67782669601761,52.31398839303582
Xavier,BE,13,110.4208874675195,19.753427943234062,52.01651009394364
Yale,Ivy,14,120.58996200759847,19.68978204359128,55.680583883223356
Youngstown St.,Horz,13,109.15344931013797,19.643671265746853,53.10081983603279
