season,round,round_num,team1,team2,seed1,seed2,seed_diff,seed_sum,seed_diff_sq,abs_seed_diff,higher_seed_is_team1,round_x_seeddiff,is_upset_seed,seed1_sq,seed2_sq,seed_product,log_seed_ratio,target,score_diff,SRS_diff,SOS_diff,eFG%_diff,TOV%_diff,SRS_sum,AdjOE_diff,AdjDE_diff,Barthag_diff,AdjTempo_diff,WAB_diff,AdjOE_avg,OE_vs_DE_1,OE_vs_DE_2,AdjDE_avg,AdjTempo_avg,ORtg_diff,Pace_diff,ORB%_diff,Pace_avg,ORtg_avg
2002,R32,2,Wyoming,Arizona,11.0,3.0,8.0,14.0,64.0,8.0,0,16.0,1,121.0,9.0,33.0,-1.2992829841302609,0,-8.0,-8.290000000000001,-9.75,-0.029000000000000026,1.0,25.53,,,,,,,,,,,,,,,
2002,R32,2,Xavier,Oklahoma,7.0,2.0,5.0,9.0,25.0,5.0,0,10.0,1,49.0,4.0,14.0,-1.252762968495368,0,-13.0,-7.109999999999999,-3.5900000000000007,0.010000000000000009,3.1000000000000014,34.93,,,,,,,,,,,,,,,
2002,S16,3,UCLA,Missouri,8.0,12.0,-4.0,20.0,16.0,4.0,1,-12.0,0,64.0,144.0,96.0,0.4054651081081644,0,-9.0,-1.08,3.9799999999999995,0.0,1.8000000000000007,27.36,,,,,,,,,,,,,,,
2002,S16,3,Arizona,Oklahoma,3.0,2.0,1.0,5.0,1.0,1.0,0,3.0,1,9.0,4.0,6.0,-0.40546510810816444,0,-21.0,-4.109999999999999,4.78,0.027000000000000024,2.1999999999999993,37.93,,,,,,,,,,,,,,,
2002,E8,4,Missouri,Oklahoma,12.0,2.0,10.0,14.0,100.0,10.0,0,40.0,1,144.0,4.0,24.0,-1.791759469228055,0,-6.0,-6.799999999999999,-0.8900000000000006,0.03500000000000003,2.5,35.24,,,,,,,,,,,,,,,
2002,F4,5,Maryland,Kansas,1.0,1.0,0.0,2.0,0.0,0.0,0,0.0,0,1.0,1.0,1.0,0.0,1,9.0,-0.9199999999999982,-0.009999999999999787,-0.02100000000000002,-1.6999999999999993,47.84,,,,,,,,,,,,,,,
2002,F4,5,Indiana,Oklahoma,5.0,2.0,3.0,7.0,9.0,3.0,0,15.0,1,25.0,4.0,10.0,-0.916290731874155,1,9.0,-1.8299999999999983,4.39,0.03300000000000003,3.8999999999999986,40.21,,,,,,,,,,,,,,,
2002,Championship,6,Maryland,Indiana,1.0,5.0,-4.0,6.0,16.0,4.0,1,-24.0,0,1.0,25.0,5.0,1.6094379124341003,1,12.0,4.27,-2.7300000000000004,0.0020000000000000018,-2.3999999999999986,42.650000000000006,,,,,,,,,,,,,,,
2003,R64,1,Oklahoma,South Carolina State,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,17.0,28.06,18.67,0.010000000000000009,-7.0,9.66,,,,,,,,,,,,,,,
2003,R64,1,California,NC State,8.0,9.0,-1.0,17.0,1.0,1.0,1,-1.0,0,64.0,81.0,72.0,0.11778303565638346,1,2.0,0.019999999999999574,0.009999999999999787,-0.01100000000000001,-1.2999999999999972,23.54,,,,,,,,,,,,,,,
2003,R64,1,Mississippi State,Butler,5.0,12.0,-7.0,17.0,49.0,7.0,1,-7.0,0,25.0,144.0,60.0,0.8754687373538999,0,-1.0,8.54,5.77,-0.039000000000000035,3.9000000000000004,26.759999999999998,,,,,,,,,,,,,,,
2003,R64,1,Louisville,Austin Peay,4.0,13.0,-9.0,17.0,81.0,9.0,1,-9.0,0,16.0,169.0,52.0,1.1786549963416462,1,22.0,20.65,8.82,0.014000000000000012,-3.8000000000000007,18.97,,,,,,,,,,,,,,,
